"Museum_Name","Museum_Address","Museum_Link"
"Государственный Русский музей","Санкт-Петербург, ул. Инженерная, 4","/Государственный_Русский_музей"
"Домик Петра I","Санкт-Петербург, набережная Петровская, 6","/Домик_Петра_I"
"Крейсер «Аврора»","Санкт-Петербург, набережная Петровская","/Крейсер_«Аврора»"
"Кунсткамера или Кабинет редкостей","Санкт-Петербург, набережная Университетская, 3","/Кунсткамера_или_Кабинет_редкостей"
"Музей Достоевского","Санкт-Петербург, пер. Кузнечный, 5/2, кв. 119","/Музей_Достоевского"
"Музей-квартира Блока","Санкт-Петербург, ул. Декабристов, 57, кв. 21","/Музей-квартира_Блока"
"Эрмитаж","Санкт-Петербург, пл. Дворцовая, 2","/Эрмитаж"
"Ботанический музей им. В. Л. Комарова","Санкт-Петербург, ул. профессора Попова, 2","/Ботанический_музей_им._В._Л._Комарова"
"Ботный дом","Санкт-Петербург, Заячий остров, Петропавловская крепость, 3","/Ботный_дом"
"Военно-исторический музей артиллерии в Санкт-Петербурге","Санкт-Петербург, парк Александровский, 7","/Военно-исторический_музей_артиллерии_в_Санкт-Петербурге"
"Военно-медицинский музей в Санкт-Петербурге","Санкт-Петербург, пер. Лазаретный, 2","/Военно-медицинский_музей_в_Санкт-Петербурге"
"Всероссийский музей А.С. Пушкина в Петербурге","Санкт-Петербург, набережная реки Мойки, 12","/Всероссийский_музей_А.С._Пушкина_в_Петербурге"
"Горный музей","Санкт-Петербург, Васильевский остров, 21-я линия, 2","/Горный_музей"
"Государственный музей истории религии","Санкт-Петербург, ул. Почтамтская, 14/5","/Государственный_музей_истории_религии"
"Государственный музей истории Санкт-Петербурга","Санкт-Петербург, Заячий остров, Петропавловская крепость","/Государственный_музей_истории_Санкт-Петербурга"
"Гранд Макет Россия","Санкт-Петербург, ул. Цветочная, 16Л","/Гранд_Макет_Россия"
"Дворец графов Шереметевых","Санкт-Петербург, набережная реки Фонтанки, 34","/Дворец_графов_Шереметевых"
"Дворец Меншикова","Санкт-Петербург, набережная Университетская, 15","/Дворец_Меншикова"
"Дом-музей Шаляпина","Санкт-Петербург, ул. Графтио, 2б","/Дом-музей_Шаляпина"
"Дом политкаторжан","Санкт-Петербург, Троицкая пл., 1","/Дом_политкаторжан"
