Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Russian Federation,RUS,"Population, total",SP.POP.TOTL,147969407,146596869,143201721,143506995,143819667,144096870,144342397,144496739,144477859,144406261,144073139,143449286
Russian Federation,RUS,Population growth (annual %),SP.POP.GROW,0.168018341182166,-0.420614990249978,0.168305035277726,0.212950704549247,0.217642262118,0.192557946508244,0.170245238698228,0.106870569429971,-0.0130668924933287,-0.0495686654330689,-0.230950388878624,-0.43395152847745
Russian Federation,RUS,Surface area (sq. km),AG.SRF.TOTL.K2,17098240,17098240,17098250,17098250,17098250,17098250,17098250,17098250,17098250,17098250,17098250,..
Russian Federation,RUS,Population density (people per sq. km of land area),EN.POP.DNST,9.02805725459809,8.94901570933758,8.74414469920076,8.76278525750037,8.7818775504721,8.79880404497318,8.81379634814223,8.8232207375402,8.82206789209416,8.81769599441163,8.79735498907911,..
Russian Federation,RUS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,29,10.7,10.8,11.2,13.3,13.3,13.2,12.6,12.3,12.1,..
Russian Federation,RUS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,3,0,0,0,0,0,0,0,0,0,..
Russian Federation,RUS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,..,250287006783.158,1931707927294.78,2179428224723.21,2137992977428.68,1725234228654.27,1426946217861.26,1352318413599.26,1505175627713.75,1655618166113.93,1573388706762.38,1693604220311.54
Russian Federation,RUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,1710,13490,15190,14630,11780,9730,9210,10250,11280,10740,11610
Russian Federation,RUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1185486299022.11,974627421657.533,3373665030012.89,3611852783386.43,3639325111273.82,3428609968113.92,3440587138815.9,3705398029006.68,4128705266430.57,4273387015415.45,4281505976031.63,4692328708310.55
Russian Federation,RUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,8010,6650,23560,25170,24910,23420,23460,25230,28120,29120,29230,32170
Russian Federation,RUS,Income share held by lowest 20%,SI.DST.FRST.20,..,6.4,6.3,6.4,6.6,6.9,7,7.1,7.1,7.1,7.5,..
Russian Federation,RUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.8860975609756,65.4836585365854,70.0721951219512,70.5787804878049,70.7436585365854,71.1834146341463,71.6512195121951,72.4514634146342,72.6621951219512,73.0839024390244,71.3387804878049,..
Russian Federation,RUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.892,1.195,1.691,1.707,1.75,1.777,1.762,1.621,1.579,1.504,1.505,..
Russian Federation,RUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,54.33,27.227,29.423,28.497,27.6,24.819,21.888,18.286,16.24,14.95,14.833,..
Russian Federation,RUS,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,..,..,..,..,..,..
